Date,No of Trans,Max,Min,Close,Volume
2015-11-16,91.0,557.0,470.0,476.0,26871.0
2015-11-18,70.0,488.0,479.0,479.0,21302.0
2015-11-19,24.0,476.0,470.0,473.0,9782.0
2015-11-22,19.0,466.0,455.0,455.0,3936.0
2015-11-23,18.0,460.0,441.0,460.0,4257.0
2015-11-24,49.0,453.0,440.0,444.0,28692.0
2015-11-25,20.0,440.0,437.0,437.0,2902.0
2015-11-26,23.0,430.0,415.0,425.0,3370.0
2015-11-30,56.0,422.0,389.0,396.0,16884.0
2015-12-01,28.0,408.0,400.0,405.0,5401.0
2015-12-02,30.0,412.0,393.0,405.0,12111.0
2015-12-03,21.0,420.0,402.0,408.0,44604.0
2015-12-06,35.0,432.0,415.0,416.0,8447.0
2015-12-07,23.0,422.0,413.0,417.0,5957.0
2015-12-08,17.0,415.0,408.0,415.0,2264.0
2015-12-09,41.0,428.0,417.0,428.0,16533.0
2015-12-10,17.0,422.0,416.0,420.0,3303.0
2015-12-13,23.0,424.0,417.0,417.0,6805.0
2015-12-14,9.0,425.0,413.0,413.0,1803.0
2015-12-15,10.0,415.0,410.0,410.0,4184.0
2015-12-16,16.0,414.0,408.0,414.0,3628.0
2015-12-17,9.0,410.0,409.0,410.0,1090.0
2015-12-20,3.0,410.0,405.0,410.0,251.0
2015-12-21,15.0,420.0,411.0,420.0,3745.0
2015-12-22,21.0,421.0,415.0,420.0,7202.0
2015-12-23,10.0,419.0,415.0,415.0,2521.0
2015-12-24,10.0,417.0,410.0,412.0,1867.0
2015-12-27,3.0,416.0,412.0,416.0,750.0
2015-12-28,31.0,421.0,414.0,417.0,14456.0
2015-12-29,25.0,420.0,415.0,419.0,9050.0
2015-12-31,22.0,435.0,421.0,428.0,6454.0
2016-01-03,31.0,425.0,416.0,416.0,8946.0
2016-01-04,12.0,424.0,416.0,421.0,2559.0
2016-01-05,42.0,425.0,417.0,421.0,16049.0
2016-01-06,11.0,424.0,420.0,421.0,3648.0
2016-01-07,24.0,439.0,421.0,435.0,6039.0
2016-01-10,26.0,440.0,431.0,438.0,7792.0
2016-01-11,28.0,439.0,432.0,432.0,10454.0
2016-01-12,28.0,439.0,428.0,439.0,16525.0
2016-01-13,16.0,452.0,436.0,445.0,12678.0
2016-01-14,83.0,466.0,449.0,460.0,24660.0
2016-01-17,67.0,478.0,465.0,465.0,13070.0
2016-01-18,41.0,490.0,458.0,468.0,9627.0
2016-01-19,65.0,476.0,452.0,471.0,28309.0
2016-01-20,29.0,475.0,467.0,471.0,8650.0
2016-01-21,50.0,475.0,470.0,472.0,14019.0
2016-01-24,74.0,490.0,467.0,485.0,40765.0
2016-01-25,162.0,503.0,490.0,499.0,59476.0
2016-01-26,40.0,475.0,466.0,466.0,11103.0
2016-01-27,38.0,470.0,455.0,460.0,14989.0
2016-01-28,23.0,463.0,450.0,451.0,12607.0
2016-01-31,42.0,454.0,449.0,454.0,18267.0
2016-02-01,66.0,477.0,463.0,477.0,22370.0
2016-02-02,64.0,491.0,475.0,485.0,21542.0
2016-02-03,35.0,488.0,477.0,487.0,7675.0
2016-02-04,38.0,490.0,479.0,482.0,21254.0
2016-02-07,55.0,500.0,480.0,480.0,22897.0
2016-02-08,55.0,494.0,480.0,485.0,15360.0
2016-02-11,183.0,505.0,485.0,504.0,56076.0
2016-02-14,142.0,516.0,498.0,511.0,48114.0
2016-02-15,111.0,514.0,500.0,510.0,40191.0
