Date,No of Trans,Max,Min,Close,Volume
2015-01-01,23.0,442.0,434.0,434.0,4721.0
2015-01-04,16.0,447.0,427.0,447.0,3416.0
2015-01-05,21.0,453.0,440.0,441.0,5703.0
2015-01-06,26.0,447.0,434.0,443.0,5515.0
2015-01-07,21.0,447.0,440.0,441.0,1815.0
2015-01-08,25.0,453.0,442.0,442.0,3344.0
2015-01-11,25.0,446.0,438.0,446.0,4699.0
2015-01-12,11.0,450.0,440.0,445.0,1535.0
2015-01-13,13.0,448.0,441.0,445.0,3496.0
2015-01-14,15.0,451.0,442.0,449.0,2935.0
2015-01-18,41.0,457.0,440.0,454.0,12325.0
2015-01-19,38.0,499.0,463.0,479.0,8284.0
2015-01-20,25.0,483.0,462.0,470.0,5749.0
2015-01-22,23.0,469.0,458.0,461.0,2243.0
2015-01-25,17.0,481.0,460.0,468.0,3011.0
2015-01-26,26.0,481.0,471.0,479.0,8925.0
2015-01-27,17.0,481.0,475.0,481.0,4340.0
2015-01-28,18.0,489.0,481.0,489.0,2932.0
2015-01-29,35.0,495.0,482.0,483.0,7572.0
2015-02-01,27.0,500.0,484.0,494.0,4773.0
2015-02-02,28.0,503.0,487.0,495.0,4650.0
2015-02-03,17.0,504.0,484.0,485.0,2048.0
2015-02-04,28.0,490.0,480.0,480.0,4879.0
2015-02-05,16.0,480.0,470.0,475.0,2925.0
2015-02-08,16.0,484.0,469.0,478.0,2095.0
2015-02-09,18.0,481.0,470.0,472.0,2713.0
2015-02-10,21.0,468.0,460.0,466.0,2717.0
2015-02-11,10.0,470.0,466.0,468.0,1289.0
2015-02-12,18.0,470.0,462.0,470.0,4129.0
2015-02-15,13.0,466.0,461.0,465.0,1876.0
2015-02-16,22.0,466.0,461.0,464.0,4009.0
2015-02-18,26.0,468.0,460.0,464.0,9157.0
2015-02-22,30.0,461.0,455.0,457.0,6574.0
2015-02-23,32.0,464.0,448.0,464.0,7936.0
2015-02-24,22.0,460.0,454.0,457.0,3729.0
2015-02-25,20.0,458.0,449.0,455.0,7295.0
2015-02-26,14.0,464.0,452.0,459.0,2558.0
2015-03-01,24.0,455.0,450.0,450.0,4985.0
2015-03-02,15.0,465.0,452.0,461.0,2623.0
2015-03-03,7.0,460.0,455.0,460.0,1714.0
2015-03-04,20.0,467.0,455.0,460.0,3315.0
2015-03-09,15.0,467.0,458.0,460.0,4109.0
2015-03-10,27.0,460.0,445.0,448.0,6338.0
2015-03-11,30.0,449.0,442.0,448.0,18473.0
2015-03-12,25.0,454.0,447.0,449.0,4955.0
2015-03-15,17.0,447.0,442.0,444.0,4475.0
2015-03-16,14.0,444.0,438.0,440.0,2866.0
2015-03-17,22.0,445.0,439.0,440.0,5029.0
2015-03-18,54.0,438.0,422.0,435.0,22265.0
2015-03-19,31.0,445.0,435.0,442.0,9180.0
2015-03-22,23.0,450.0,440.0,446.0,6721.0
2015-03-23,22.0,441.0,437.0,439.0,5368.0
2015-03-24,27.0,439.0,430.0,430.0,9231.0
2015-03-25,40.0,435.0,415.0,429.0,18119.0
2015-03-26,41.0,432.0,420.0,432.0,31606.0
2015-03-29,23.0,433.0,416.0,432.0,11593.0
2015-03-30,12.0,432.0,423.0,432.0,5642.0
2015-03-31,22.0,443.0,430.0,436.0,7398.0
2015-04-01,12.0,438.0,434.0,438.0,2992.0
2015-04-02,23.0,443.0,434.0,434.0,8988.0
2015-04-05,16.0,434.0,425.0,431.0,6234.0
2015-04-06,22.0,434.0,424.0,434.0,5496.0
2015-04-07,12.0,434.0,429.0,432.0,4297.0
2015-04-08,15.0,445.0,435.0,440.0,2876.0
2015-04-09,21.0,449.0,438.0,440.0,3849.0
2015-04-12,27.0,450.0,443.0,450.0,9838.0
2015-04-13,17.0,451.0,446.0,447.0,2980.0
2015-04-15,10.0,447.0,440.0,445.0,4449.0
2015-04-16,21.0,442.0,438.0,442.0,3975.0
2015-04-19,25.0,442.0,435.0,439.0,3083.0
2015-04-20,39.0,446.0,440.0,446.0,10151.0
2015-04-21,35.0,452.0,440.0,445.0,10106.0
2015-04-22,16.0,445.0,438.0,444.0,2363.0
2015-04-23,27.0,446.0,442.0,445.0,4556.0
2015-05-26,3.0,437.0,421.0,421.0,30.0
2015-05-28,27.0,413.0,387.0,390.0,3988.0
2015-05-31,25.0,405.0,388.0,400.0,5466.0
2015-06-01,23.0,420.0,405.0,413.0,9951.0
2015-06-02,28.0,415.0,407.0,413.0,6455.0
2015-06-04,28.0,441.0,427.0,433.0,7841.0
2015-06-07,30.0,442.0,426.0,440.0,18224.0
2015-06-08,46.0,457.0,443.0,450.0,18006.0
2015-06-09,99.0,486.0,459.0,480.0,36662.0
2015-06-10,50.0,480.0,456.0,472.0,18585.0
2015-06-11,38.0,464.0,446.0,455.0,12288.0
2015-06-14,77.0,460.0,451.0,457.0,48608.0
2015-06-15,42.0,465.0,445.0,465.0,10756.0
2015-06-16,36.0,465.0,453.0,455.0,10395.0
2015-06-17,49.0,465.0,448.0,465.0,8171.0
2015-06-18,22.0,460.0,454.0,454.0,9844.0
2015-06-21,32.0,452.0,442.0,446.0,3846.0
2015-06-22,27.0,450.0,440.0,446.0,11221.0
2015-06-23,23.0,450.0,442.0,446.0,4742.0
2015-06-24,29.0,450.0,440.0,450.0,9313.0
2015-06-25,33.0,453.0,441.0,447.0,7336.0
2015-06-28,29.0,452.0,443.0,447.0,5566.0
2015-06-29,31.0,455.0,446.0,448.0,4809.0
2015-06-30,32.0,450.0,442.0,450.0,6125.0
2015-07-01,20.0,455.0,446.0,447.0,5080.0
2015-07-02,31.0,445.0,440.0,440.0,6850.0
2015-07-05,28.0,441.0,435.0,437.0,4353.0
2015-07-06,34.0,440.0,433.0,436.0,5657.0
2015-07-07,23.0,441.0,432.0,439.0,2898.0
2015-07-08,40.0,447.0,436.0,438.0,6270.0
2015-07-09,43.0,441.0,437.0,440.0,11096.0
2015-07-12,24.0,442.0,437.0,437.0,7229.0
2015-07-13,24.0,438.0,436.0,437.0,4666.0
2015-07-14,22.0,445.0,430.0,445.0,21458.0
2015-07-15,21.0,449.0,441.0,442.0,2372.0
2015-07-16,29.0,455.0,439.0,455.0,6634.0
2015-07-22,59.0,464.0,451.0,463.0,10663.0
2015-07-23,118.0,499.0,467.0,490.0,39511.0
2015-07-26,29.0,539.0,499.0,539.0,15343.0
2015-07-27,134.0,570.0,500.0,501.0,34235.0
2015-07-28,102.0,505.0,470.0,490.0,19337.0
2015-07-29,73.0,489.0,472.0,489.0,7495.0
2015-07-30,109.0,498.0,482.0,485.0,23698.0
2015-08-02,59.0,490.0,479.0,490.0,10041.0
2015-08-03,88.0,490.0,479.0,485.0,11836.0
2015-08-04,185.0,489.0,478.0,483.0,22486.0
2015-08-05,179.0,486.0,477.0,485.0,28750.0
2015-08-06,299.0,496.0,481.0,485.0,72860.0
2015-08-09,104.0,524.0,494.0,520.0,28943.0
2015-08-10,37.0,538.0,520.0,530.0,11504.0
2015-08-11,54.0,561.0,530.0,541.0,16108.0
2015-08-12,48.0,561.0,525.0,550.0,10577.0
2015-08-13,64.0,573.0,550.0,568.0,18841.0
2015-08-16,54.0,605.0,575.0,605.0,13683.0
2015-08-17,94.0,645.0,600.0,630.0,28380.0
2015-08-18,97.0,630.0,591.0,606.0,22981.0
2015-08-19,94.0,635.0,611.0,629.0,22754.0
2015-08-20,140.0,680.0,630.0,635.0,40074.0
2015-08-23,58.0,640.0,589.0,617.0,15292.0
2015-08-24,70.0,632.0,600.0,609.0,15694.0
2015-08-25,49.0,613.0,596.0,604.0,8797.0
2015-08-26,36.0,612.0,603.0,606.0,5495.0
2015-08-27,31.0,615.0,601.0,604.0,7547.0
2015-08-31,38.0,615.0,600.0,610.0,9483.0
2015-09-01,69.0,610.0,590.0,599.0,16556.0
2015-09-02,50.0,601.0,580.0,600.0,10332.0
2015-09-03,50.0,602.0,588.0,600.0,16681.0
2015-09-06,50.0,613.0,588.0,598.0,9842.0
2015-09-07,15.0,601.0,595.0,596.0,2072.0
2015-09-08,26.0,601.0,597.0,597.0,5309.0
2015-09-09,22.0,595.0,589.0,595.0,4690.0
2015-09-10,53.0,600.0,586.0,595.0,55915.0
2015-09-13,48.0,606.0,598.0,605.0,13793.0
2015-09-14,96.0,616.0,606.0,615.0,28712.0
2015-09-15,171.0,650.0,603.0,650.0,56915.0
