Date,No of Trans,Max,Min,Close,Volume
2015-01-04,5.0,227.0,211.0,227.0,50.0
2015-01-05,13.0,249.0,231.0,249.0,102303.0
2015-01-06,160.0,273.0,253.0,273.0,170924.0
2015-01-07,460.0,288.0,268.0,271.0,199210.0
2015-01-08,215.0,276.0,268.0,271.0,52836.0
2015-01-11,181.0,271.0,263.0,265.0,45356.0
2015-01-12,125.0,267.0,261.0,267.0,39542.0
2015-01-13,79.0,268.0,257.0,265.0,27085.0
2015-01-14,121.0,271.0,263.0,269.0,17178.0
2015-01-18,300.0,294.0,271.0,294.0,189547.0
2015-01-19,186.0,323.0,294.0,303.0,95482.0
2015-01-20,130.0,311.0,285.0,299.0,54658.0
2015-01-22,99.0,299.0,290.0,297.0,31974.0
2015-01-25,130.0,302.0,295.0,300.0,32235.0
2015-01-26,160.0,315.0,297.0,304.0,108179.0
2015-01-27,201.0,306.0,300.0,302.0,138206.0
2015-01-28,147.0,312.0,300.0,307.0,70550.0
2015-01-29,275.0,313.0,299.0,304.0,113634.0
2015-02-01,360.0,334.0,306.0,326.0,177083.0
2015-02-02,210.0,328.0,314.0,317.0,87493.0
2015-02-03,86.0,320.0,314.0,315.0,27634.0
2015-02-04,101.0,315.0,309.0,313.0,34499.0
2015-02-05,72.0,314.0,306.0,314.0,29629.0
2015-02-08,144.0,319.0,310.0,313.0,63109.0
2015-02-09,115.0,315.0,310.0,313.0,63959.0
2015-02-10,104.0,316.0,309.0,312.0,49865.0
2015-02-11,57.0,315.0,303.0,311.0,47362.0
2015-02-12,61.0,312.0,308.0,311.0,28198.0
2015-02-15,92.0,315.0,310.0,315.0,44909.0
2015-02-16,171.0,323.0,310.0,323.0,88333.0
2015-02-18,176.0,335.0,321.0,335.0,134332.0
2015-02-22,157.0,343.0,327.0,330.0,94575.0
2015-02-23,148.0,331.0,315.0,330.0,77796.0
2015-02-24,95.0,335.0,323.0,332.0,48684.0
2015-02-25,87.0,335.0,328.0,335.0,37210.0
2015-02-26,148.0,349.0,335.0,349.0,88594.0
2015-03-01,185.0,360.0,346.0,350.0,92783.0
2015-03-02,77.0,350.0,345.0,349.0,30148.0
2015-03-03,83.0,348.0,342.0,343.0,25611.0
2015-03-04,115.0,354.0,338.0,341.0,42694.0
2015-03-09,173.0,353.0,344.0,347.0,73654.0
2015-03-10,184.0,348.0,339.0,340.0,79413.0
2015-03-11,67.0,345.0,341.0,342.0,20898.0
2015-03-12,41.0,348.0,340.0,342.0,26536.0
2015-03-15,39.0,342.0,335.0,340.0,13347.0
2015-03-16,35.0,340.0,332.0,334.0,7644.0
2015-03-17,46.0,341.0,329.0,340.0,14725.0
2015-03-18,28.0,340.0,335.0,336.0,5868.0
2015-03-19,36.0,344.0,338.0,339.0,14209.0
2015-03-22,28.0,346.0,332.0,332.0,8570.0
2015-03-23,62.0,340.0,329.0,330.0,20269.0
2015-03-24,31.0,330.0,326.0,328.0,67872.0
2015-03-25,49.0,330.0,325.0,329.0,9668.0
2015-03-26,41.0,331.0,324.0,331.0,43881.0
2015-03-29,37.0,333.0,325.0,330.0,9720.0
2015-03-30,29.0,335.0,325.0,328.0,13795.0
2015-03-31,29.0,336.0,325.0,332.0,21375.0
2015-04-01,36.0,333.0,327.0,328.0,7796.0
2015-04-02,24.0,336.0,328.0,331.0,82404.0
2015-04-05,33.0,336.0,329.0,335.0,9048.0
2015-04-06,31.0,335.0,330.0,334.0,8859.0
2015-04-07,21.0,340.0,331.0,336.0,12508.0
2015-04-08,35.0,343.0,332.0,342.0,22579.0
2015-04-09,57.0,352.0,339.0,352.0,35860.0
2015-04-12,77.0,362.0,348.0,361.0,34519.0
2015-04-13,43.0,357.0,347.0,353.0,18412.0
2015-04-15,28.0,360.0,347.0,348.0,5182.0
2015-04-16,34.0,351.0,345.0,350.0,5886.0
2015-04-19,44.0,358.0,344.0,344.0,15309.0
2015-04-20,56.0,350.0,344.0,348.0,25947.0
2015-04-21,45.0,357.0,346.0,350.0,69861.0
2015-04-22,77.0,356.0,346.0,352.0,10275.0
2015-04-23,71.0,355.0,345.0,345.0,15828.0
2015-05-24,8.0,339.0,311.0,311.0,110.0
2015-05-25,35.0,305.0,280.0,280.0,3527.0
2015-05-26,85.0,304.0,270.0,287.0,33239.0
2015-05-27,25.0,286.0,275.0,280.0,9613.0
2015-05-28,54.0,300.0,275.0,295.0,25968.0
2015-05-31,63.0,311.0,297.0,310.0,28021.0
2015-06-01,84.0,326.0,308.0,315.0,25940.0
2015-06-02,38.0,321.0,310.0,321.0,14742.0
2015-06-04,94.0,337.0,321.0,321.0,23373.0
2015-06-07,73.0,332.0,321.0,331.0,40127.0
2015-06-08,82.0,349.0,332.0,340.0,44051.0
2015-06-09,108.0,359.0,340.0,346.0,40846.0
2015-06-10,66.0,345.0,336.0,339.0,28548.0
2015-06-11,57.0,340.0,330.0,334.0,14059.0
2015-06-14,42.0,339.0,325.0,329.0,7684.0
2015-06-15,34.0,335.0,323.0,328.0,14482.0
2015-06-16,24.0,330.0,325.0,327.0,12651.0
2015-06-17,59.0,334.0,324.0,329.0,41105.0
2015-06-18,51.0,335.0,324.0,324.0,14249.0
2015-06-21,40.0,326.0,320.0,323.0,5825.0
2015-06-22,52.0,327.0,320.0,326.0,12935.0
2015-06-23,22.0,327.0,323.0,325.0,7229.0
2015-06-24,51.0,329.0,321.0,327.0,14749.0
2015-06-25,56.0,332.0,323.0,327.0,15304.0
2015-06-28,53.0,333.0,324.0,324.0,23180.0
2015-06-29,86.0,329.0,320.0,323.0,24960.0
2015-06-30,80.0,324.0,316.0,320.0,14535.0
2015-07-01,29.0,326.0,320.0,323.0,7123.0
2015-07-02,40.0,323.0,316.0,318.0,6419.0
2015-07-05,38.0,323.0,315.0,317.0,6756.0
2015-07-06,60.0,318.0,310.0,315.0,16946.0
2015-07-07,77.0,320.0,312.0,318.0,20351.0
2015-07-08,74.0,336.0,324.0,330.0,34472.0
2015-07-09,110.0,340.0,329.0,331.0,77704.0
2015-07-12,48.0,336.0,326.0,331.0,14531.0
2015-07-13,37.0,334.0,330.0,333.0,14167.0
2015-07-14,38.0,338.0,330.0,338.0,12223.0
2015-07-15,105.0,348.0,338.0,340.0,46656.0
2015-07-16,35.0,348.0,341.0,348.0,12066.0
2015-07-22,86.0,360.0,350.0,357.0,41410.0
2015-07-23,110.0,376.0,357.0,370.0,47383.0
2015-07-26,6.0,407.0,377.0,407.0,100052.0
2015-07-27,251.0,431.0,385.0,386.0,98678.0
2015-07-28,115.0,400.0,370.0,385.0,43338.0
2015-07-29,60.0,385.0,371.0,377.0,11324.0
2015-07-30,88.0,390.0,370.0,378.0,29557.0
2015-08-02,72.0,390.0,373.0,388.0,14130.0
2015-08-03,100.0,390.0,381.0,389.0,32041.0
2015-08-04,88.0,394.0,383.0,384.0,22976.0
2015-08-05,99.0,386.0,375.0,385.0,25304.0
2015-08-06,118.0,395.0,378.0,388.0,19735.0
2015-08-09,221.0,406.0,390.0,395.0,54049.0
2015-08-10,181.0,402.0,390.0,395.0,42658.0
2015-08-11,174.0,399.0,385.0,393.0,22817.0
2015-08-12,220.0,395.0,375.0,382.0,27437.0
2015-08-13,284.0,388.0,376.0,387.0,38761.0
2015-08-16,383.0,387.0,365.0,370.0,50071.0
2015-08-17,131.0,407.0,377.0,407.0,75252.0
2015-08-18,148.0,438.0,408.0,436.0,64366.0
2015-08-19,149.0,454.0,435.0,452.0,70388.0
2015-08-20,286.0,497.0,461.0,470.0,151985.0
2015-08-23,235.0,474.0,447.0,457.0,114929.0
2015-08-24,160.0,464.0,455.0,460.0,61147.0
2015-08-25,187.0,456.0,440.0,451.0,84902.0
2015-08-26,116.0,466.0,446.0,450.0,48053.0
2015-08-27,123.0,459.0,445.0,449.0,44253.0
2015-08-31,122.0,451.0,440.0,442.0,43583.0
