Date,No of Trans,Max,Min,Close,Volume
2015-01-01,22.0,538.0,526.0,526.0,5190.0
2015-01-04,31.0,545.0,529.0,540.0,14625.0
2015-01-05,48.0,550.0,535.0,539.0,17418.0
2015-01-06,40.0,544.0,537.0,539.0,13664.0
2015-01-07,20.0,541.0,529.0,535.0,6958.0
2015-01-08,39.0,570.0,535.0,545.0,8924.0
2015-01-11,31.0,546.0,532.0,542.0,13750.0
2015-01-12,34.0,545.0,530.0,538.0,14054.0
2015-01-13,15.0,546.0,530.0,546.0,5686.0
2015-01-14,25.0,548.0,539.0,539.0,10127.0
2015-01-18,17.0,550.0,538.0,538.0,4639.0
2015-01-19,79.0,580.0,548.0,574.0,26124.0
2015-01-20,46.0,593.0,544.0,560.0,14741.0
2015-01-22,30.0,560.0,549.0,555.0,12624.0
2015-01-25,18.0,562.0,550.0,558.0,6297.0
2015-01-26,46.0,596.0,560.0,565.0,15315.0
2015-01-27,25.0,570.0,565.0,565.0,8996.0
2015-01-28,30.0,578.0,570.0,577.0,8090.0
2015-01-29,36.0,582.0,570.0,578.0,13152.0
2015-02-01,41.0,586.0,578.0,583.0,13089.0
2015-02-02,39.0,583.0,573.0,573.0,11400.0
2015-02-03,18.0,570.0,562.0,570.0,12760.0
2015-02-04,22.0,570.0,560.0,563.0,10226.0
2015-02-05,39.0,559.0,550.0,557.0,15878.0
2015-02-08,57.0,568.0,559.0,564.0,15291.0
2015-02-09,21.0,565.0,550.0,560.0,5979.0
2015-02-10,15.0,558.0,551.0,558.0,6485.0
2015-02-11,24.0,565.0,555.0,562.0,6122.0
2015-02-12,21.0,565.0,560.0,565.0,7578.0
2015-02-15,31.0,569.0,559.0,568.0,14431.0
2015-02-16,21.0,565.0,557.0,562.0,10074.0
2015-02-18,11.0,563.0,556.0,558.0,3291.0
2015-02-22,26.0,562.0,544.0,546.0,10381.0
2015-02-23,45.0,555.0,540.0,550.0,12571.0
2015-02-24,35.0,553.0,544.0,547.0,11372.0
2015-02-25,13.0,550.0,543.0,549.0,3954.0
2015-02-26,35.0,556.0,545.0,550.0,13704.0
2015-03-01,12.0,552.0,543.0,547.0,4037.0
2015-03-02,22.0,560.0,550.0,560.0,5659.0
2015-03-03,17.0,561.0,552.0,556.0,10004.0
2015-03-04,30.0,571.0,552.0,560.0,9559.0
2015-03-09,15.0,564.0,555.0,560.0,6824.0
2015-03-10,22.0,561.0,555.0,556.0,5802.0
2015-03-11,26.0,560.0,545.0,559.0,6140.0
2015-03-12,16.0,558.0,550.0,554.0,6095.0
2015-03-15,7.0,553.0,548.0,553.0,2940.0
2015-03-16,27.0,560.0,543.0,545.0,11106.0
2015-03-17,30.0,555.0,537.0,547.0,9531.0
2015-03-18,19.0,549.0,542.0,547.0,6626.0
2015-03-19,38.0,561.0,550.0,553.0,10169.0
2015-03-22,39.0,564.0,550.0,554.0,11020.0
2015-03-23,18.0,551.0,543.0,548.0,5016.0
2015-03-24,25.0,549.0,543.0,548.0,14741.0
2015-03-25,15.0,550.0,540.0,550.0,2095.0
2015-03-26,20.0,559.0,548.0,550.0,8132.0
2015-03-29,13.0,549.0,544.0,546.0,3486.0
2015-03-30,12.0,549.0,540.0,542.0,3248.0
2015-03-31,21.0,552.0,540.0,550.0,6290.0
2015-04-01,14.0,550.0,540.0,540.0,2376.0
2015-04-02,17.0,550.0,538.0,538.0,3702.0
2015-04-05,34.0,544.0,531.0,540.0,10548.0
2015-04-06,25.0,547.0,538.0,543.0,6712.0
2015-04-07,5.0,544.0,540.0,544.0,1426.0
2015-04-08,10.0,550.0,545.0,545.0,3661.0
2015-04-09,29.0,555.0,548.0,552.0,10449.0
