Date,No of Trans,Max,Min,Close,Volume
2015-01-01,8.0,960.0,914.0,960.0,838.0
2015-01-04,5.0,960.0,950.0,950.0,668.0
2015-01-05,5.0,956.0,951.0,951.0,1041.0
2015-01-06,9.0,955.0,945.0,950.0,3244.0
2015-01-07,8.0,942.0,906.0,934.0,1066.0
2015-01-08,11.0,954.0,950.0,954.0,1471.0
2015-01-11,8.0,950.0,941.0,946.0,2009.0
2015-01-12,4.0,935.0,932.0,932.0,670.0
2015-01-13,5.0,944.0,935.0,944.0,1024.0
2015-01-14,5.0,960.0,950.0,950.0,988.0
2015-01-18,7.0,969.0,952.0,952.0,1267.0
2015-01-19,11.0,991.0,971.0,989.0,1691.0
2015-01-20,10.0,975.0,951.0,953.0,1350.0
2015-01-22,6.0,955.0,936.0,955.0,953.0
2015-01-25,7.0,975.0,955.0,975.0,1520.0
2015-01-26,1.0,976.0,976.0,976.0,54.0
2015-01-27,8.0,999.0,982.0,982.0,1487.0
2015-01-28,4.0,1002.0,1000.0,1000.0,193.0
2015-01-29,16.0,1005.0,996.0,997.0,2417.0
2015-02-01,12.0,1008.0,995.0,1000.0,1717.0
2015-02-02,22.0,1009.0,995.0,999.0,5332.0
2015-02-03,4.0,1000.0,980.0,981.0,667.0
2015-02-04,10.0,1000.0,981.0,997.0,1327.0
2015-02-05,11.0,1000.0,984.0,984.0,1636.0
2015-02-08,11.0,994.0,980.0,994.0,1512.0
2015-02-09,6.0,1004.0,988.0,989.0,1128.0
2015-02-10,15.0,983.0,975.0,980.0,4832.0
2015-02-11,1.0,980.0,980.0,980.0,110.0
2015-02-12,3.0,990.0,972.0,980.0,2032.0
2015-02-15,8.0,981.0,975.0,975.0,1223.0
2015-02-16,13.0,980.0,970.0,977.0,2771.0
2015-02-18,8.0,975.0,964.0,965.0,1867.0
2015-02-22,1.0,950.0,950.0,950.0,22.0
2015-02-23,10.0,952.0,930.0,952.0,4454.0
2015-02-24,11.0,965.0,945.0,946.0,2248.0
2015-02-25,1.0,950.0,950.0,950.0,45.0
2015-02-26,2.0,950.0,940.0,940.0,474.0
2015-03-01,5.0,935.0,913.0,935.0,2129.0
2015-03-02,10.0,950.0,925.0,950.0,7682.0
2015-03-03,5.0,942.0,931.0,940.0,242.0
2015-03-04,4.0,945.0,940.0,940.0,545.0
2015-03-09,4.0,940.0,924.0,940.0,1645.0
2015-03-10,3.0,950.0,940.0,940.0,439.0
2015-03-12,1.0,932.0,932.0,932.0,100.0
2015-03-15,8.0,930.0,922.0,922.0,2858.0
2015-03-16,3.0,921.0,920.0,920.0,477.0
2015-03-17,9.0,928.0,918.0,921.0,2112.0
2015-03-18,5.0,923.0,905.0,923.0,514.0
2015-03-19,7.0,928.0,921.0,927.0,2109.0
2015-03-22,5.0,925.0,910.0,910.0,798.0
2015-03-23,3.0,921.0,915.0,921.0,320.0
2015-03-24,14.0,920.0,911.0,920.0,3920.0
2015-03-25,9.0,916.0,906.0,909.0,2106.0
2015-03-26,2.0,912.0,911.0,912.0,110.0
2015-03-29,35.0,915.0,900.0,900.0,12965.0
2015-03-30,7.0,905.0,900.0,900.0,1045.0
2015-03-31,5.0,916.0,900.0,902.0,1413.0
2015-04-02,5.0,901.0,900.0,901.0,1029.0
2015-04-05,7.0,901.0,890.0,890.0,2120.0
2015-04-06,13.0,907.0,895.0,900.0,8752.0
2015-04-07,3.0,904.0,900.0,904.0,936.0
2015-04-08,4.0,922.0,915.0,920.0,829.0
2015-04-09,5.0,925.0,920.0,920.0,768.0
2015-04-12,10.0,915.0,905.0,913.0,1133.0
2015-04-13,8.0,906.0,900.0,901.0,2137.0
2015-04-15,4.0,925.0,900.0,900.0,739.0
2015-04-16,6.0,906.0,873.0,906.0,332.0
2015-04-19,11.0,910.0,900.0,904.0,2209.0
2015-04-20,13.0,915.0,891.0,900.0,4424.0
2015-04-21,11.0,915.0,900.0,900.0,2631.0
2015-04-22,9.0,896.0,886.0,890.0,1731.0
2015-04-23,2.0,907.0,890.0,890.0,560.0
2015-05-25,9.0,873.0,801.0,801.0,110.0
2015-05-26,37.0,816.0,784.0,788.0,4099.0
2015-05-27,10.0,790.0,765.0,765.0,3304.0
2015-05-28,10.0,778.0,740.0,770.0,2877.0
2015-05-31,15.0,840.0,785.0,820.0,2854.0
2015-06-01,16.0,873.0,820.0,849.0,2183.0
2015-06-02,12.0,855.0,817.0,825.0,4168.0
2015-06-04,22.0,897.0,860.0,879.0,11213.0
2015-06-07,15.0,896.0,870.0,890.0,2499.0
2015-06-08,17.0,918.0,895.0,910.0,3447.0
2015-06-09,21.0,946.0,915.0,920.0,3872.0
2015-06-10,18.0,920.0,895.0,915.0,4499.0
2015-06-11,12.0,932.0,890.0,900.0,1793.0
2015-06-14,6.0,890.0,882.0,883.0,364.0
2015-06-16,11.0,900.0,870.0,900.0,5060.0
2015-06-17,12.0,895.0,885.0,890.0,3852.0
2015-06-18,4.0,893.0,880.0,893.0,758.0
2015-06-21,14.0,880.0,875.0,880.0,2701.0
2015-06-22,8.0,897.0,878.0,890.0,710.0
2015-06-23,9.0,889.0,885.0,885.0,2563.0
2015-06-24,4.0,891.0,886.0,891.0,1620.0
2015-06-25,17.0,903.0,891.0,891.0,3155.0
2015-06-28,13.0,896.0,890.0,891.0,1399.0
2015-06-29,11.0,908.0,895.0,896.0,1720.0
2015-06-30,5.0,898.0,890.0,891.0,451.0
2015-07-01,7.0,912.0,896.0,900.0,1974.0
2015-07-02,6.0,899.0,891.0,895.0,2546.0
2015-07-05,11.0,900.0,895.0,900.0,2707.0
2015-07-06,22.0,903.0,890.0,901.0,8839.0
2015-07-07,10.0,902.0,890.0,902.0,5313.0
2015-07-08,16.0,905.0,895.0,895.0,5840.0
2015-07-09,10.0,900.0,890.0,893.0,2346.0
2015-07-12,5.0,894.0,890.0,890.0,520.0
2015-07-13,20.0,894.0,879.0,890.0,9353.0
2015-07-14,8.0,895.0,885.0,885.0,1926.0
2015-07-15,10.0,890.0,890.0,890.0,1800.0
2015-07-16,13.0,890.0,885.0,887.0,2715.0
2015-07-22,9.0,910.0,899.0,910.0,888.0
2015-07-23,23.0,992.0,900.0,988.0,4996.0
2015-07-26,3.0,1047.0,1007.0,1047.0,30.0
2015-07-27,172.0,1151.0,1067.0,1110.0,42756.0
2015-07-28,53.0,1122.0,1050.0,1088.0,9775.0
2015-07-29,59.0,1122.0,1067.0,1102.0,10439.0
