Date,No of Trans,Max,Min,Close,Volume
2015-01-01,23.0,660.0,645.0,651.0,9356.0
2015-01-04,27.0,668.0,650.0,665.0,16800.0
2015-01-05,16.0,670.0,643.0,655.0,3161.0
2015-01-06,21.0,665.0,644.0,658.0,3423.0
2015-01-07,13.0,664.0,651.0,660.0,2907.0
2015-01-08,27.0,671.0,659.0,664.0,7609.0
2015-01-11,21.0,666.0,654.0,666.0,3138.0
2015-01-12,19.0,666.0,653.0,666.0,5136.0
2015-01-13,10.0,666.0,653.0,666.0,7800.0
2015-01-14,10.0,672.0,660.0,664.0,1869.0
2015-01-18,22.0,690.0,660.0,674.0,4503.0
2015-01-19,41.0,714.0,687.0,707.0,10712.0
2015-01-20,30.0,707.0,687.0,687.0,8463.0
2015-01-22,13.0,680.0,663.0,678.0,3663.0
2015-01-25,11.0,708.0,671.0,708.0,3504.0
2015-01-26,22.0,710.0,696.0,696.0,4997.0
2015-01-27,6.0,696.0,683.0,690.0,830.0
2015-01-28,22.0,707.0,690.0,707.0,6114.0
2015-01-29,27.0,715.0,697.0,703.0,8743.0
2015-02-01,25.0,725.0,712.0,719.0,6430.0
2015-02-02,20.0,725.0,713.0,713.0,3790.0
2015-02-03,9.0,709.0,699.0,709.0,1064.0
2015-02-04,18.0,720.0,700.0,720.0,4279.0
2015-02-05,19.0,710.0,696.0,700.0,4313.0
2015-02-08,23.0,714.0,700.0,706.0,5114.0
2015-02-09,26.0,706.0,695.0,702.0,5742.0
2015-02-10,8.0,700.0,690.0,700.0,1964.0
2015-02-11,7.0,701.0,686.0,700.0,1781.0
2015-02-12,13.0,705.0,695.0,699.0,3239.0
2015-02-15,20.0,701.0,696.0,701.0,12747.0
2015-02-16,23.0,701.0,694.0,700.0,7581.0
2015-02-18,7.0,699.0,690.0,699.0,2072.0
2015-02-22,16.0,689.0,685.0,686.0,3626.0
2015-02-23,21.0,686.0,677.0,683.0,10506.0
2015-02-24,20.0,685.0,679.0,685.0,4840.0
2015-02-25,13.0,684.0,678.0,678.0,2450.0
2015-02-26,15.0,688.0,675.0,684.0,3302.0
2015-03-01,4.0,683.0,680.0,681.0,1025.0
2015-03-02,12.0,690.0,685.0,690.0,2936.0
2015-03-03,11.0,695.0,687.0,690.0,3863.0
2015-03-04,22.0,705.0,697.0,699.0,4149.0
2015-03-09,13.0,710.0,693.0,699.0,2178.0
2015-03-10,6.0,695.0,686.0,694.0,1470.0
2015-03-11,10.0,695.0,681.0,688.0,3190.0
2015-03-12,14.0,690.0,685.0,686.0,3057.0
2015-03-15,5.0,684.0,674.0,684.0,1801.0
2015-03-16,12.0,680.0,661.0,669.0,2414.0
2015-03-17,21.0,672.0,645.0,665.0,5807.0
2015-03-18,20.0,670.0,651.0,662.0,5522.0
2015-03-19,31.0,685.0,670.0,685.0,4831.0
2015-03-22,24.0,685.0,666.0,670.0,6176.0
2015-03-23,13.0,670.0,657.0,657.0,2482.0
2015-03-24,10.0,665.0,657.0,658.0,4352.0
2015-03-25,17.0,662.0,649.0,660.0,6360.0
2015-03-26,1.0,653.0,653.0,653.0,165.0
2015-03-29,16.0,652.0,648.0,650.0,4275.0
2015-03-30,5.0,660.0,647.0,650.0,3480.0
2015-03-31,9.0,665.0,653.0,665.0,1718.0
2015-04-01,9.0,674.0,652.0,655.0,2362.0
2015-04-02,14.0,662.0,655.0,662.0,3083.0
2015-04-05,10.0,656.0,651.0,656.0,2762.0
2015-04-06,16.0,657.0,649.0,650.0,4040.0
2015-04-07,13.0,661.0,650.0,653.0,2357.0
2015-04-08,9.0,675.0,651.0,671.0,1818.0
2015-04-09,7.0,680.0,670.0,678.0,1924.0
2015-04-12,28.0,700.0,682.0,685.0,7816.0
2015-04-13,28.0,690.0,682.0,687.0,3183.0
2015-04-15,21.0,681.0,677.0,680.0,6878.0
2015-04-16,33.0,689.0,677.0,683.0,7717.0
2015-04-19,25.0,695.0,681.0,695.0,6303.0
2015-04-20,36.0,708.0,691.0,698.0,7789.0
2015-04-21,35.0,710.0,698.0,700.0,5748.0
2015-04-22,12.0,695.0,690.0,691.0,2981.0
2015-04-23,23.0,691.0,682.0,690.0,4222.0
2015-05-26,44.0,677.0,621.0,621.0,8817.0
2015-05-27,70.0,609.0,570.0,580.0,20143.0
2015-05-28,42.0,597.0,569.0,592.0,12283.0
2015-05-31,37.0,619.0,597.0,619.0,7287.0
2015-06-01,31.0,643.0,615.0,625.0,10725.0
2015-06-02,28.0,631.0,616.0,630.0,4987.0
2015-06-04,24.0,654.0,638.0,649.0,6670.0
2015-06-07,25.0,657.0,645.0,651.0,4951.0
2015-06-08,37.0,685.0,664.0,675.0,10190.0
2015-06-09,54.0,715.0,688.0,698.0,16430.0
2015-06-10,36.0,695.0,675.0,681.0,8353.0
2015-06-11,42.0,675.0,660.0,663.0,10636.0
2015-06-14,21.0,665.0,647.0,655.0,6061.0
2015-06-15,26.0,665.0,643.0,660.0,5954.0
2015-06-16,16.0,660.0,650.0,659.0,1713.0
2015-06-17,18.0,659.0,650.0,659.0,3023.0
2015-06-18,19.0,660.0,654.0,659.0,3175.0
2015-06-21,9.0,651.0,646.0,649.0,1566.0
2015-06-22,13.0,660.0,649.0,660.0,1297.0
2015-06-23,22.0,659.0,650.0,659.0,5342.0
2015-06-24,13.0,665.0,654.0,658.0,2484.0
2015-06-25,7.0,665.0,660.0,665.0,1502.0
2015-06-28,23.0,670.0,665.0,668.0,5103.0
2015-06-29,15.0,681.0,665.0,665.0,3244.0
2015-06-30,31.0,672.0,663.0,667.0,6330.0
2015-07-01,12.0,667.0,664.0,664.0,4476.0
2015-07-02,8.0,666.0,655.0,666.0,1677.0
2015-07-05,16.0,667.0,655.0,656.0,3212.0
2015-07-06,29.0,657.0,650.0,654.0,7065.0
2015-07-07,12.0,665.0,654.0,665.0,1427.0
2015-07-08,19.0,670.0,660.0,663.0,5195.0
2015-07-09,5.0,663.0,660.0,660.0,881.0
2015-07-12,11.0,668.0,650.0,668.0,3329.0
2015-07-13,13.0,667.0,660.0,667.0,3237.0
2015-07-14,18.0,672.0,654.0,667.0,6605.0
2015-07-15,10.0,676.0,668.0,670.0,3563.0
2015-07-16,15.0,680.0,671.0,678.0,3381.0
2015-07-22,24.0,699.0,676.0,689.0,4096.0
2015-07-23,105.0,757.0,699.0,757.0,30632.0
2015-07-26,3.0,802.0,772.0,802.0,244.0
2015-07-27,141.0,850.0,770.0,770.0,37875.0
2015-07-28,56.0,806.0,728.0,764.0,18439.0
2015-07-29,28.0,773.0,748.0,756.0,5363.0
2015-07-30,49.0,770.0,745.0,755.0,6054.0
2015-08-02,32.0,764.0,751.0,764.0,5122.0
2015-08-03,49.0,760.0,745.0,749.0,10800.0
2015-08-04,47.0,750.0,742.0,750.0,10766.0
2015-08-05,48.0,749.0,733.0,743.0,10101.0
2015-08-06,53.0,767.0,746.0,752.0,9199.0
2015-08-09,76.0,781.0,741.0,760.0,21249.0
2015-08-10,81.0,800.0,761.0,779.0,19525.0
2015-08-11,74.0,779.0,746.0,760.0,16785.0
2015-08-12,94.0,770.0,732.0,765.0,24529.0
2015-08-13,99.0,772.0,755.0,772.0,27403.0
2015-08-16,144.0,775.0,746.0,769.0,25911.0
2015-08-17,90.0,845.0,784.0,845.0,28127.0
2015-08-18,56.0,890.0,830.0,870.0,15853.0
2015-08-19,31.0,889.0,860.0,872.0,8967.0
2015-08-20,73.0,910.0,870.0,875.0,18299.0
2015-08-23,22.0,909.0,845.0,890.0,4598.0
2015-08-24,22.0,893.0,860.0,860.0,4173.0
2015-08-25,28.0,880.0,835.0,861.0,9751.0
2015-08-26,18.0,861.0,844.0,847.0,4086.0
2015-08-27,15.0,863.0,840.0,845.0,3621.0
2015-08-31,27.0,855.0,840.0,850.0,6161.0
2015-09-01,35.0,855.0,845.0,845.0,5836.0
2015-09-02,17.0,835.0,825.0,835.0,3707.0
2015-09-03,37.0,833.0,819.0,824.0,7759.0
2015-09-06,41.0,834.0,810.0,815.0,14661.0
2015-09-07,55.0,820.0,798.0,810.0,12685.0
2015-09-08,30.0,821.0,808.0,815.0,7039.0
2015-09-09,26.0,820.0,802.0,806.0,3959.0
2015-09-10,37.0,805.0,800.0,800.0,7253.0
2015-09-13,54.0,814.0,800.0,812.0,12897.0
2015-09-14,46.0,830.0,814.0,823.0,10736.0
2015-09-15,38.0,840.0,831.0,833.0,11919.0
2015-09-16,37.0,849.0,830.0,830.0,8652.0
2015-09-17,48.0,842.0,815.0,815.0,11199.0
2015-09-22,66.0,802.0,775.0,785.0,15103.0
2015-09-23,43.0,821.0,790.0,799.0,7422.0
2015-09-24,27.0,798.0,770.0,795.0,7162.0
2015-09-28,51.0,785.0,765.0,780.0,9661.0
2015-09-29,29.0,799.0,765.0,778.0,6271.0
2015-09-30,38.0,795.0,783.0,791.0,8766.0
2015-10-01,22.0,803.0,788.0,790.0,5469.0
2015-10-04,40.0,795.0,775.0,783.0,11306.0
2015-10-05,31.0,790.0,775.0,775.0,6022.0
2015-10-06,17.0,774.0,764.0,770.0,3369.0
2015-10-07,24.0,760.0,743.0,760.0,7098.0
2015-10-08,23.0,770.0,751.0,769.0,6983.0
2015-10-11,39.0,755.0,736.0,745.0,9431.0
2015-10-14,42.0,741.0,721.0,726.0,9025.0
2015-10-15,9.0,725.0,715.0,722.0,2487.0
2015-10-18,20.0,722.0,708.0,717.0,3225.0
2015-10-19,7.0,725.0,720.0,723.0,743.0
2015-10-27,30.0,709.0,680.0,680.0,8277.0
2015-10-28,23.0,683.0,654.0,680.0,4595.0
2015-10-29,15.0,700.0,680.0,680.0,1641.0
2015-11-01,15.0,680.0,662.0,676.0,5970.0
2015-11-02,11.0,693.0,680.0,685.0,2670.0
2015-11-03,13.0,685.0,661.0,675.0,3657.0
2015-11-04,5.0,677.0,663.0,675.0,1020.0
2015-11-05,21.0,675.0,666.0,671.0,10146.0
2015-11-08,2.0,671.0,670.0,670.0,323.0
2015-11-09,10.0,688.0,680.0,682.0,2199.0
2015-11-10,16.0,703.0,686.0,686.0,2256.0
2015-11-15,3.0,686.0,680.0,686.0,900.0
2015-11-16,14.0,676.0,671.0,675.0,2881.0
2015-11-18,13.0,680.0,662.0,678.0,5810.0
2015-11-19,17.0,678.0,673.0,674.0,2199.0
2015-11-22,15.0,662.0,655.0,657.0,2216.0
2015-11-23,13.0,661.0,645.0,661.0,4597.0
2015-11-24,8.0,674.0,662.0,662.0,1328.0
2015-11-25,14.0,660.0,653.0,653.0,2467.0
2015-11-26,37.0,652.0,635.0,640.0,9378.0
2015-11-30,31.0,627.0,594.0,610.0,5651.0
2015-12-01,30.0,646.0,616.0,646.0,6647.0
2015-12-02,15.0,647.0,624.0,632.0,3427.0
2015-12-03,21.0,663.0,631.0,637.0,3713.0
2015-12-06,24.0,670.0,645.0,669.0,5131.0
2015-12-07,20.0,680.0,665.0,670.0,4851.0
2015-12-08,23.0,691.0,680.0,691.0,6670.0
2015-12-09,49.0,716.0,699.0,701.0,12896.0
2015-12-10,28.0,700.0,695.0,699.0,6371.0
2015-12-13,34.0,710.0,698.0,701.0,9143.0
2015-12-14,43.0,705.0,687.0,698.0,9284.0
2015-12-15,142.0,707.0,693.0,696.0,39648.0
2015-12-16,14.0,591.0,571.0,571.0,3666.0
2015-12-17,13.0,582.0,560.0,565.0,4196.0
2015-12-20,6.0,565.0,554.0,565.0,5184.0
2015-12-21,25.0,605.0,576.0,601.0,9602.0
2015-12-22,27.0,620.0,600.0,615.0,7277.0
2015-12-23,10.0,619.0,610.0,617.0,3950.0
2015-12-24,13.0,627.0,615.0,617.0,2177.0
2015-12-27,6.0,619.0,600.0,610.0,1478.0
2015-12-28,13.0,610.0,597.0,600.0,6188.0
2015-12-29,18.0,605.0,598.0,601.0,3984.0
2015-12-31,20.0,627.0,604.0,620.0,6817.0
2016-01-03,12.0,615.0,605.0,610.0,2818.0
2016-01-04,20.0,605.0,591.0,597.0,4844.0
2016-01-05,17.0,597.0,590.0,594.0,7422.0
2016-01-06,49.0,599.0,590.0,595.0,17443.0
2016-07-11,6.0,654.0,606.0,654.0,1050.0
2016-07-12,5.0,719.0,667.0,719.0,130.0
2016-07-13,6.0,790.0,733.0,790.0,5370.0
2016-07-14,7.0,869.0,805.0,869.0,176.0
2016-07-17,10.0,955.0,886.0,955.0,2660.0
2016-07-18,16.0,1050.0,974.0,1050.0,3556.0
2016-07-19,65.0,1155.0,1071.0,1155.0,28079.0
2016-07-20,1009.0,1270.0,1178.0,1215.0,319469.0
2016-07-21,427.0,1245.0,1200.0,1230.0,106523.0
2016-07-25,551.0,1332.0,1240.0,1330.0,151839.0
2016-07-26,530.0,1435.0,1350.0,1415.0,181715.0
2016-07-27,311.0,1416.0,1370.0,1384.0,70544.0
2016-07-28,295.0,1404.0,1345.0,1380.0,83810.0
2016-07-31,193.0,1393.0,1363.0,1368.0,47932.0
2016-08-01,206.0,1372.0,1335.0,1352.0,53125.0
2016-08-02,287.0,1362.0,1336.0,1349.0,79768.0
2016-08-03,236.0,1364.0,1316.0,1335.0,54074.0
2016-08-04,414.0,1321.0,1280.0,1290.0,91888.0
2016-08-07,358.0,1330.0,1281.0,1290.0,81453.0
2016-08-08,210.0,1285.0,1191.0,1191.0,42709.0
2016-08-09,114.0,1310.0,1214.0,1295.0,27548.0
2016-08-10,378.0,1330.0,1250.0,1295.0,86015.0
2016-08-11,209.0,1310.0,1280.0,1290.0,33062.0
2016-08-14,164.0,1290.0,1250.0,1275.0,34538.0
2016-08-15,164.0,1268.0,1216.0,1246.0,29364.0
2016-08-16,135.0,1294.0,1220.0,1264.0,21995.0
2016-08-17,125.0,1279.0,1252.0,1268.0,24721.0
2016-08-21,94.0,1281.0,1255.0,1270.0,15449.0
2016-08-22,104.0,1265.0,1235.0,1249.0,14319.0
2016-08-23,167.0,1254.0,1215.0,1234.0,36789.0
2016-08-24,99.0,1279.0,1236.0,1250.0,17277.0
2016-08-28,112.0,1287.0,1240.0,1277.0,22566.0
2016-08-29,234.0,1331.0,1270.0,1331.0,67226.0
2016-08-30,140.0,1339.0,1310.0,1335.0,36348.0
2016-08-31,121.0,1350.0,1320.0,1348.0,28047.0
2016-09-01,130.0,1361.0,1340.0,1345.0,30275.0
2016-09-04,293.0,1404.0,1350.0,1399.0,87766.0
2016-09-05,276.0,1448.0,1400.0,1416.0,71484.0
2016-09-06,234.0,1440.0,1375.0,1400.0,62603.0
2016-09-07,107.0,1424.0,1370.0,1388.0,23618.0
2016-09-08,93.0,1399.0,1370.0,1388.0,20887.0
2016-09-11,95.0,1393.0,1376.0,1378.0,16181.0
2016-09-12,95.0,1380.0,1367.0,1370.0,19221.0
2016-09-14,117.0,1385.0,1368.0,1379.0,30941.0
2016-09-18,122.0,1378.0,1352.0,1361.0,22237.0
2016-09-20,158.0,1366.0,1331.0,1331.0,36033.0
2016-09-21,114.0,1343.0,1314.0,1330.0,32273.0
2016-09-22,96.0,1340.0,1320.0,1320.0,20008.0
2016-09-25,131.0,1328.0,1270.0,1272.0,29013.0
2016-09-26,164.0,1314.0,1275.0,1294.0,41396.0
2016-09-27,133.0,1319.0,1285.0,1293.0,40097.0
2016-09-28,132.0,1296.0,1282.0,1290.0,28066.0
2016-09-29,129.0,1305.0,1282.0,1297.0,24084.0
2016-10-02,346.0,1309.0,1281.0,1293.0,65368.0
2016-10-03,97.0,1105.0,1060.0,1092.0,18849.0
2016-10-04,64.0,1103.0,1092.0,1093.0,15616.0
2016-10-05,37.0,1100.0,1087.0,1090.0,7093.0
2016-10-06,106.0,1115.0,1096.0,1109.0,19805.0
2016-10-16,25.0,1110.0,1095.0,1100.0,3481.0
2016-10-17,49.0,1091.0,1080.0,1082.0,7993.0
2016-10-18,35.0,1085.0,1078.0,1080.0,8731.0
2016-10-19,42.0,1083.0,1070.0,1080.0,20000.0
2016-10-20,32.0,1088.0,1078.0,1080.0,6614.0
2016-10-23,67.0,1077.0,1056.0,1065.0,13449.0
2016-10-24,57.0,1060.0,1045.0,1049.0,8735.0
2016-10-25,25.0,1047.0,1040.0,1041.0,3994.0
2016-10-26,62.0,1045.0,1020.0,1035.0,11616.0
2016-10-27,30.0,1050.0,1040.0,1047.0,5771.0
2016-11-03,23.0,1060.0,1036.0,1060.0,3373.0
2016-11-07,72.0,1075.0,1056.0,1060.0,12232.0
2016-11-08,66.0,1060.0,1032.0,1040.0,12075.0
2016-11-09,84.0,1050.0,1000.0,1020.0,15424.0
2016-11-10,100.0,1039.0,1010.0,1028.0,16015.0
2016-11-13,74.0,1058.0,1034.0,1037.0,14342.0
2016-11-14,147.0,1078.0,1040.0,1075.0,38647.0
2016-11-15,139.0,1090.0,1065.0,1066.0,28207.0
2016-11-16,75.0,1075.0,1050.0,1065.0,16199.0
2016-11-17,312.0,1084.0,1050.0,1061.0,65622.0
2016-11-20,285.0,1055.0,981.0,1020.0,53942.0
2016-11-21,168.0,1034.0,982.0,1029.0,34563.0
2016-11-22,162.0,1025.0,989.0,1011.0,25417.0
2016-11-23,209.0,1010.0,970.0,975.0,32507.0
2016-11-24,202.0,1015.0,950.0,970.0,34987.0
2016-11-27,265.0,989.0,900.0,903.0,42436.0
2016-11-28,205.0,956.0,850.0,955.0,46016.0
2016-11-29,252.0,995.0,890.0,988.0,45583.0
2016-11-30,325.0,1023.0,970.0,1020.0,53892.0
2016-12-01,298.0,1039.0,985.0,1026.0,63451.0
2016-12-04,275.0,1049.0,995.0,1020.0,53773.0
2016-12-05,666.0,1102.0,1025.0,1030.0,113276.0
2016-12-06,429.0,1040.0,1025.0,1038.0,84841.0
2016-12-07,273.0,1043.0,1032.0,1036.0,34989.0
2016-12-08,205.0,1055.0,1031.0,1035.0,27376.0
2016-12-11,172.0,1036.0,1020.0,1020.0,24715.0
2016-12-12,222.0,1020.0,990.0,997.0,36770.0
2016-12-14,151.0,1015.0,993.0,1000.0,20940.0
2016-12-15,137.0,1025.0,1000.0,1015.0,19809.0
2016-12-18,144.0,1018.0,990.0,1010.0,26364.0
2016-12-19,148.0,1015.0,1005.0,1013.0,20494.0
2016-12-20,129.0,1010.0,995.0,1000.0,22355.0
2016-12-21,101.0,999.0,972.0,988.0,14768.0
2016-12-22,78.0,995.0,989.0,990.0,8498.0
2016-12-26,134.0,990.0,958.0,960.0,20309.0
2016-12-27,215.0,959.0,915.0,928.0,35830.0
2016-12-28,117.0,942.0,926.0,940.0,21141.0
2016-12-29,131.0,970.0,940.0,955.0,17861.0
2017-01-01,126.0,992.0,956.0,980.0,14576.0
2017-01-02,119.0,1010.0,984.0,997.0,21522.0
2017-01-03,112.0,1004.0,970.0,980.0,11557.0
2017-01-04,82.0,985.0,960.0,969.0,10410.0
2017-01-05,68.0,1003.0,969.0,978.0,10095.0
2017-01-08,48.0,980.0,965.0,980.0,5037.0
2017-01-09,58.0,985.0,976.0,979.0,7958.0
2017-01-10,69.0,991.0,975.0,990.0,9058.0
2017-01-11,67.0,1000.0,975.0,981.0,8662.0
2017-01-12,131.0,1010.0,990.0,996.0,18072.0
2017-01-15,188.0,1015.0,997.0,1003.0,23988.0
2017-01-16,79.0,1004.0,996.0,1002.0,11359.0
2017-01-17,110.0,1001.0,994.0,994.0,18101.0
2017-01-18,113.0,999.0,991.0,991.0,18294.0
2017-01-19,92.0,995.0,986.0,986.0,12940.0
2017-01-22,86.0,996.0,984.0,985.0,14593.0
2017-01-23,78.0,990.0,980.0,981.0,10692.0
2017-01-24,89.0,985.0,972.0,981.0,13707.0
2017-01-25,114.0,980.0,960.0,960.0,11854.0
2017-01-26,169.0,960.0,912.0,950.0,32094.0
2017-01-30,273.0,965.0,885.0,896.0,30530.0
2017-01-31,208.0,936.0,868.0,900.0,25820.0
2017-02-01,634.0,930.0,900.0,923.0,90023.0
2017-02-02,146.0,690.0,650.0,655.0,18776.0
2017-02-05,57.0,660.0,630.0,630.0,6113.0
2017-02-06,56.0,632.0,619.0,620.0,5743.0
2017-02-07,59.0,630.0,612.0,615.0,7500.0
2017-02-08,61.0,618.0,608.0,608.0,5188.0
2017-02-09,58.0,605.0,595.0,596.0,5408.0
2017-02-12,116.0,585.0,565.0,566.0,12329.0
2017-02-13,86.0,577.0,520.0,568.0,9824.0
2017-02-14,90.0,580.0,560.0,570.0,9376.0
2017-02-15,77.0,590.0,565.0,580.0,9504.0
2017-02-16,154.0,595.0,580.0,582.0,21118.0
2017-02-19,179.0,600.0,572.0,596.0,24574.0
2017-02-20,196.0,619.0,589.0,590.0,26214.0
2017-02-21,141.0,614.0,575.0,588.0,15873.0
2017-02-22,68.0,584.0,565.0,570.0,7355.0
2017-02-23,54.0,580.0,568.0,570.0,6406.0
2017-02-26,66.0,571.0,557.0,557.0,4243.0
2017-02-28,146.0,554.0,536.0,540.0,17841.0
2017-03-01,58.0,555.0,534.0,550.0,8337.0
2017-03-02,70.0,560.0,545.0,559.0,8861.0
2017-03-05,65.0,583.0,564.0,576.0,8669.0
