Date,No of Trans,Max,Min,Close,Volume
2015-01-01,43.0,406.0,395.0,402.0,5381.0
2015-01-04,79.0,412.0,401.0,412.0,18479.0
2015-01-05,49.0,419.0,402.0,407.0,10197.0
2015-01-06,51.0,413.0,400.0,412.0,11653.0
2015-01-07,46.0,415.0,403.0,415.0,5783.0
2015-01-08,46.0,421.0,406.0,413.0,5723.0
2015-01-11,35.0,414.0,408.0,408.0,8117.0
2015-01-12,31.0,415.0,403.0,412.0,2959.0
2015-01-13,26.0,410.0,406.0,408.0,2903.0
2015-01-14,30.0,413.0,409.0,410.0,5505.0
2015-01-18,25.0,425.0,410.0,411.0,10244.0
2015-01-19,35.0,434.0,414.0,416.0,7844.0
2015-01-20,24.0,415.0,402.0,409.0,2968.0
2015-01-22,24.0,410.0,398.0,408.0,3087.0
2015-01-25,25.0,410.0,400.0,410.0,2839.0
2015-01-26,17.0,415.0,401.0,402.0,3444.0
2015-01-27,41.0,418.0,400.0,418.0,3743.0
2015-01-28,24.0,420.0,413.0,420.0,3424.0
2015-01-29,36.0,421.0,405.0,416.0,6624.0
2015-02-01,32.0,417.0,406.0,416.0,6488.0
2015-02-02,28.0,417.0,413.0,416.0,5224.0
2015-02-03,78.0,427.0,416.0,423.0,20880.0
2015-02-04,28.0,424.0,417.0,420.0,3956.0
2015-02-05,21.0,420.0,408.0,416.0,3722.0
2015-02-08,17.0,417.0,408.0,416.0,2862.0
2015-02-09,63.0,435.0,417.0,424.0,11438.0
2015-02-10,46.0,428.0,417.0,422.0,8220.0
2015-02-11,85.0,429.0,422.0,425.0,20374.0
2015-02-12,87.0,429.0,422.0,429.0,14800.0
2015-02-15,141.0,436.0,422.0,436.0,34901.0
2015-02-16,149.0,435.0,425.0,430.0,26450.0
2015-02-18,12.0,419.0,405.0,406.0,1057.0
2015-02-22,24.0,406.0,391.0,399.0,2749.0
2015-02-23,18.0,397.0,391.0,397.0,1616.0
2015-02-24,18.0,401.0,397.0,399.0,5848.0
2015-02-25,10.0,402.0,391.0,402.0,1533.0
2015-02-26,12.0,402.0,396.0,398.0,1445.0
2015-03-01,11.0,393.0,390.0,392.0,1712.0
2015-03-02,10.0,400.0,394.0,400.0,1677.0
2015-03-03,6.0,406.0,403.0,406.0,832.0
2015-03-04,11.0,408.0,400.0,405.0,3172.0
2015-03-09,8.0,413.0,402.0,404.0,767.0
2015-03-10,8.0,413.0,400.0,413.0,2544.0
2015-03-11,18.0,415.0,408.0,415.0,3071.0
2015-03-12,19.0,417.0,411.0,417.0,2018.0
2015-03-15,13.0,410.0,403.0,405.0,2079.0
2015-03-16,8.0,413.0,400.0,400.0,1728.0
2015-03-17,12.0,406.0,400.0,400.0,12532.0
2015-03-18,22.0,406.0,396.0,400.0,6527.0
2015-03-19,38.0,407.0,398.0,407.0,12529.0
2015-03-22,17.0,407.0,396.0,400.0,3921.0
2015-03-23,13.0,395.0,390.0,394.0,6104.0
2015-03-24,13.0,394.0,388.0,394.0,1300.0
2015-03-25,7.0,394.0,385.0,389.0,2473.0
2015-03-26,13.0,388.0,382.0,388.0,2154.0
2015-03-29,11.0,388.0,382.0,383.0,725.0
2015-03-30,21.0,390.0,380.0,386.0,9026.0
2015-03-31,13.0,393.0,380.0,388.0,3329.0
2015-04-01,5.0,391.0,384.0,384.0,2190.0
2015-04-02,18.0,391.0,384.0,384.0,7164.0
2015-04-05,8.0,386.0,375.0,377.0,1326.0
2015-04-06,16.0,377.0,372.0,373.0,2167.0
2015-04-07,8.0,383.0,373.0,383.0,489.0
2015-04-08,21.0,395.0,385.0,394.0,2491.0
2015-04-09,40.0,405.0,392.0,403.0,9710.0
2015-04-12,31.0,408.0,400.0,400.0,3904.0
2015-04-13,25.0,400.0,391.0,400.0,1829.0
2015-04-15,30.0,395.0,388.0,395.0,3295.0
2015-04-16,42.0,408.0,392.0,405.0,6073.0
2015-04-19,40.0,410.0,402.0,405.0,4950.0
2015-04-20,49.0,415.0,407.0,412.0,8122.0
2015-04-21,50.0,419.0,409.0,416.0,9218.0
2015-04-22,39.0,421.0,401.0,401.0,16172.0
2015-04-23,55.0,411.0,396.0,402.0,4657.0
2015-05-24,10.0,394.0,362.0,362.0,470.0
2015-05-25,8.0,355.0,326.0,326.0,349.0
2015-05-26,29.0,345.0,320.0,327.0,2754.0
2015-05-27,34.0,327.0,317.0,323.0,5300.0
2015-05-28,28.0,339.0,318.0,331.0,5340.0
2015-05-31,11.0,364.0,337.0,364.0,627.0
2015-06-01,22.0,390.0,371.0,388.0,4679.0
2015-06-02,4.0,385.0,380.0,380.0,1097.0
2015-06-04,7.0,410.0,390.0,393.0,1759.0
2015-06-07,6.0,405.0,394.0,400.0,1067.0
2015-06-08,16.0,415.0,400.0,409.0,4179.0
2015-06-09,21.0,449.0,417.0,421.0,9897.0
2015-06-10,8.0,420.0,415.0,415.0,2706.0
2015-06-11,3.0,422.0,407.0,407.0,1422.0
2015-06-14,2.0,400.0,392.0,392.0,873.0
2015-06-15,4.0,405.0,390.0,405.0,1372.0
2015-06-16,11.0,413.0,407.0,412.0,2549.0
2015-06-17,15.0,417.0,410.0,410.0,4243.0
2015-06-18,7.0,410.0,402.0,405.0,2060.0
2015-06-21,8.0,402.0,400.0,400.0,1945.0
2015-06-22,6.0,410.0,400.0,410.0,5906.0
2015-06-23,11.0,413.0,402.0,413.0,5653.0
2015-06-24,12.0,414.0,411.0,414.0,2518.0
2015-06-25,9.0,416.0,410.0,414.0,3813.0
2015-06-28,18.0,418.0,412.0,418.0,7130.0
2015-06-29,13.0,425.0,414.0,415.0,5685.0
2015-06-30,17.0,416.0,409.0,416.0,2959.0
2015-07-01,12.0,413.0,410.0,410.0,2810.0
2015-07-02,16.0,410.0,405.0,406.0,6807.0
2015-07-05,13.0,410.0,405.0,407.0,16304.0
2015-07-06,10.0,415.0,407.0,413.0,2007.0
2015-07-07,10.0,418.0,408.0,418.0,1756.0
2015-07-08,7.0,413.0,410.0,412.0,1469.0
2015-07-09,7.0,412.0,410.0,411.0,831.0
2015-07-12,15.0,415.0,395.0,415.0,7876.0
2015-07-13,8.0,414.0,410.0,410.0,2497.0
2015-07-14,13.0,418.0,410.0,414.0,1836.0
2015-07-15,5.0,413.0,412.0,413.0,906.0
2015-07-16,10.0,413.0,405.0,410.0,1775.0
2015-07-22,22.0,436.0,411.0,431.0,7719.0
2015-07-23,54.0,470.0,439.0,470.0,14663.0
2015-07-26,21.0,517.0,479.0,517.0,8270.0
2015-07-27,43.0,527.0,466.0,466.0,10115.0
2015-07-28,27.0,470.0,450.0,455.0,9316.0
2015-07-29,10.0,454.0,446.0,454.0,2973.0
2015-07-30,18.0,470.0,447.0,455.0,4603.0
2015-08-02,16.0,455.0,450.0,455.0,4130.0
2015-08-03,18.0,463.0,442.0,461.0,5949.0
2015-08-04,24.0,461.0,452.0,456.0,7588.0
2015-08-05,20.0,465.0,450.0,462.0,5584.0
2015-08-06,11.0,470.0,463.0,469.0,2605.0
2015-08-09,37.0,487.0,443.0,455.0,14681.0
2015-08-10,25.0,464.0,451.0,455.0,8565.0
2015-08-11,11.0,455.0,450.0,452.0,3150.0
2015-08-12,18.0,455.0,442.0,455.0,5538.0
2015-08-13,20.0,463.0,456.0,462.0,4518.0
2015-08-16,9.0,498.0,471.0,495.0,1941.0
2015-08-17,84.0,519.0,469.0,500.0,41815.0
